bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69423,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69425,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI69425,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,More than 1 week
BI69426,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI69430,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69430,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,72 hours to 1 week
BI69433,2025,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI69433,2025,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI69433,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI69433,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI69449,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69449,2025,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI69467,2025,Qtr 2,Users,Unknown,Informal Action Taken,Cyber,Phishing,100 to 1k,Health,72 hours to 1 week
BI69467,2025,Qtr 2,Employees,Unknown,Informal Action Taken,Cyber,Phishing,100 to 1k,Health,72 hours to 1 week
BI69467,2025,Qtr 2,Customers or prospective customers,Unknown,Informal Action Taken,Cyber,Phishing,100 to 1k,Health,72 hours to 1 week
BI69468,2025,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI69470,2025,Qtr 2,Unknown,Unknown,Informal Action Taken,Cyber,Other cyber incident,Unknown,Health,More than 1 week
BI69479,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Cyber,Other cyber incident,1k to 10k,Health,24 hours to 72 hours
BI69483,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,1 to 9,Health,24 hours to 72 hours
BI69483,2025,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,1 to 9,Health,24 hours to 72 hours
